;Table name : Molecules
;MariaDB types
;INT NOT NULL : ObjID,ID
;BOOLEAN NOT NULL DEFAULT 0 : Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO
;FLOAT NOT NULL DEFAULT -99.0 :Mol_Flow
;VARCHAR(255) NOT NULL DEFAULT 'N.A.': Pub_mol,Pub_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.': Mol_tracer
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO,Pub_mol,Mol_Flow,Mol_tracer,Pub_F,ID
183,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,183
184,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,184
185,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,185
186,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,186
187,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,187
188,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,188
189,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,189
190,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,190
191,1,0,1,1,1,1,0,1,0,Dunham et al. 2011/Maureira et al 2017,1,12CO,Dunham et al 2011,191
192,1,0,1,1,1,1,0,1,0,Belloche2006/Busch et al 2020/Maureira et al. 2020,1,CO,Busch et al. 2020,192
194,1,0,0,0,0,0,0,0,0,Riaz & Machida 2021,0,12CO,Riaz & Machida 2021/Phan-Bao et al 2011,194
195,1,0,1,1,1,0,0,1,1,Chen et al. 2010/Maureira et al. 2020,0,N.A.,N.A.,195
197,0,0,0,0,1,0,0,0,0,Andre et al 2012,-99,N.A.,N.A.,197
203,1,0,0,1,1,0,0,0,0,Liu et al 2017,1,12CO,Liu et al 2017,203
205,1,0,0,0,0,1,0,1,0,Jorgensen et al 2013/Oya et al 2014/Yen et al 2017,1,12CO,Yen et al 2017,205
325,1,0,0,0,1,0,0,0,0,Kawabe et al. 2018,1,12CO,Kawabe et al. 2018,325
326,1,0,0,0,1,0,0,0,0,Kawabe et al. 2018,1,12CO,Kawabe et al. 2018,326

