;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
81,10,Spitzer
81,11,Spitzer
81,12,Spitzer
81,13,Spitzer
81,14,Spitzer
80,10,Spitzer
80,11,Spitzer
80,12,Spitzer
80,13,Spitzer
80,14,Spitzer
79,10,Spitzer
79,11,Spitzer
79,13,Spitzer
79,14,Spitzer
78,11,Spitzer
78,13,Spitzer
78,14,Spitzer
70,10,Spitzer
70,11,Spitzer
70,12,Spitzer
70,13,Spitzer
70,14,Spitzer
66,11,Spitzer
66,13,Spitzer
66,14,Spitzer
66,15,Spitzer
65,10,Spitzer
65,11,Spitzer
65,12,Spitzer
65,13,Spitzer
65,14,Spitzer
57,10,Spitzer
57,11,Spitzer
57,12,Spitzer
57,13,Spitzer
57,14,Spitzer
56,10,Spitzer
56,11,Spitzer
56,12,Spitzer
56,13,Spitzer
56,14,Spitzer
55,10,Spitzer
55,11,Spitzer
55,12,Spitzer
55,13,Spitzer
55,14,Spitzer
54,11,Spitzer
54,12,Spitzer
54,13,Spitzer
54,14,Spitzer
53,10,Spitzer
53,11,Spitzer
53,12,Spitzer
53,13,Spitzer
53,14,Spitzer
52,10,Spitzer
52,11,Spitzer
52,12,Spitzer
52,13,Spitzer
52,14,Spitzer
44,11,Spitzer
44,13,Spitzer
44,14,Spitzer
193,10,Spitzer
193,11,Spitzer
193,12,Spitzer
193,13,Spitzer
193,14,Spitzer
194,10,Spitzer
194,11,Spitzer
194,12,Spitzer
194,13,Spitzer
194,14,Spitzer
194,15,Spitzer
195,10,Spitzer
195,11,Spitzer
195,12,Spitzer
195,13,Spitzer
195,14,Spitzer
195,15,Spitzer
195,16,Spitzer
198,10,Spitzer
198,11,Spitzer
198,12,Spitzer
198,13,Spitzer
199,10,Spitzer
199,11,Spitzer
199,12,Spitzer
199,13,Spitzer
199,14,Spitzer
200,10,Spitzer
200,11,Spitzer
200,12,Spitzer
200,13,Spitzer
201,10,Spitzer
201,11,Spitzer
201,12,Spitzer
201,13,Spitzer
202,10,Spitzer
202,11,Spitzer
202,12,Spitzer
202,13,Spitzer
202,14,Spitzer
202,15,Spitzer
203,10,Spitzer
203,11,Spitzer
203,15,Spitzer
205,10,Spitzer
205,11,Spitzer
205,12,Spitzer
205,13,Spitzer
205,15,Spitzer
196,10,Spitzer
196,11,Spitzer
196,12,Spitzer
196,13,Spitzer
196,14,Spitzer
196,15,Spitzer
300,10,Spitzer
300,11,Spitzer
300,12,Spitzer
300,13,Spitzer
300,14,Spitzer
301,10,Spitzer
301,11,Spitzer
301,12,Spitzer
301,13,Spitzer
301,14,Spitzer
313,10,Spitzer
313,11,Spitzer
313,12,Spitzer
313,13,Spitzer
313,14,Spitzer
313,15,Spitzer
313,16,Spitzer
